Order Number,Order Date,Sales Channel,Currency,Warehouse,Order Quantity,Unit Price,Line Total,Total Unit Cost,Customer Names,Product Name,name,county,state_code,state,type,latitude,longitude,population,households,median_income,Profit,Profit Margin (%)
SO - 000225,2014-01-01,Wholesale,USD,AXW291,6,2499.1,14994.6,1824.343,Rhynoodle Ltd,Product 27,Savannah,Chatham County,GA,Georgia,City,32.08354,-81.09983,145674,52798,36466,13170.257,87.83
SO - 0003850,2014-01-01,Wholesale,USD,FLR025,6,2653.2,15919.2,1485.792,Epic Group,Product 13,Huntington Beach,Orange County,CA,California,City,33.6603,-117.99923,201899,74460,83252,14433.408,90.67
SO - 0006279,2014-01-01,Distributor,USD,GUT930,7,3845.8,26920.6,1538.32,SAFEWAY Ltd,Product 4,Poinciana,Polk County/Osceola County,FL,Florida,CDP,28.11873,-81.47923,56678,17275,39839,25382.28,94.29
SO - 0006313,2014-01-01,Export,USD,NXH382,8,1822.4,14579.2,1530.816,Sanum-Kehl Group,Product 16,Mission Viejo,Orange County,CA,California,City,33.60002,-117.672,97156,33483,100366,13048.384,89.5
SO - 0010604,2014-01-01,Wholesale,USD,NXH382,11,5078.6,55864.6,4113.666,Realbridge Corp,Product 19,Auburn,Lee County,AL,Alabama,City,32.60986,-85.48078,62059,21767,38342,51750.934,92.64
SO - 0008840,2014-01-01,Distributor,USD,AXW291,7,844.2,5909.4,616.266,Actavis Company,Product 2,Metairie,Jefferson Parish,LA,Louisiana,CDP,29.98409,-90.15285,140074,59557,52421,5293.134,89.57
SO - 0004336,2014-01-01,Export,USD,AXW291,9,268.0,2412.0,227.8,Mita Corp,Product 14,Chapel Hill,Durham County/Orange County,NC,North Carolina,Town,35.92812,-79.03742,59568,20335,62208,2184.2,90.56
SO - 0005121,2014-01-01,Wholesale,USD,AXW291,6,5681.6,34089.6,4090.752,Twitterbri Ltd,Product 30,Cambridge,Middlesex County,MA,Massachusetts,City,42.3751,-71.10561,110402,43801,79416,29998.848,88.0
SO - 0002468,2014-01-01,Wholesale,USD,GUT930,8,1983.2,15865.6,1348.576,Roberts Company,Product 5,Diamond Bar,Los Angeles County,CA,California,City,34.02862,-117.81034,56897,17656,89221,14517.024,91.5
SO - 0010233,2014-01-01,Distributor,USD,AXW291,7,3899.4,27295.8,1598.754,Jayo Company,Product 2,Lancaster,Lancaster County,PA,Pennsylvania,City,40.03788,-76.30551,59339,21356,35313,25697.046,94.14
SO - 0002921,2014-01-01,Wholesale,USD,AXW291,10,5875.9,58759.0,4289.407,Bluezoom Group,Product 26,Manchester,Hillsborough County,NH,New Hampshire,City,42.99564,-71.45479,110229,45145,54282,54469.593,92.7
SO - 0003715,2014-01-01,Wholesale,USD,AXW291,10,1085.4,10854.0,857.466,US Ltd,Product 26,Rockford,Winnebago County/Ogle County,IL,Illinois,City,42.25884,-89.06455,148278,58559,38716,9996.534,92.1
SO - 0004471,2014-01-01,Wholesale,USD,AXW291,12,2237.8,26853.6,939.876,Accudial Company,Product 14,Augusta,Richmond County,GA,Georgia,Consolidated Government,33.36149,-82.075,201793,73917,39464,25913.724,96.5
SO - 0004751,2014-01-01,Distributor,USD,NXH382,9,1172.5,10552.5,515.9,Aveda Group,Product 8,Perris,Riverside County,CA,California,City,33.78252,-117.22865,74971,16297,49325,10036.6,95.11
SO - 0006833,2014-01-01,Export,USD,FLR025,7,2613.0,18291.0,2142.66,BB17 Company,Product 4,Parsippany-Troy Hills,Morris County,NJ,New Jersey,Township,40.85964,-74.42335,53641,19745,89385,16148.34,88.29
SO - 0008532,2014-01-01,Wholesale,USD,GUT930,11,938.0,10318.0,675.36,Wordware Company,Product 5,Layton,Davis County,UT,Utah,City,41.06022,-111.97105,74143,22209,69408,9642.64,93.45
SO - 0010560,2014-01-01,Export,USD,NXH382,6,2994.9,17969.4,2455.818,Aromaticos Company,Product 16,Louisville,Jefferson County,KY,Kentucky,City,38.25424,-85.75941,760026,0,0,15513.582,86.33
SO - 0002543,2014-01-01,Export,USD,FLR025,9,3644.8,32803.2,2587.808,Terumo Corp,Product 14,Santa Monica,Los Angeles County,CA,California,City,34.01945,-118.49119,93220,46688,76580,30215.392,92.11
SO - 0009346,2014-01-01,Wholesale,USD,NXH382,7,1011.7,7081.9,839.711,CLINIQUE Ltd,Product 13,Vallejo,Solano County,CA,California,City,38.10409,-122.25664,121253,41216,57028,6242.189,88.14
SO - 0002206,2014-01-01,Wholesale,USD,AXW291,8,174.2,1393.6,109.746,General Company,Product 16,Encinitas,San Diego County,CA,California,City,33.03699,-117.29198,62930,23465,95149,1283.854,92.12
SO - 0002504,2014-01-01,Export,USD,FLR025,11,1976.5,21741.5,790.6,Colgate-Pa Group,Product 27,Pittsburgh,Allegheny County,PA,Pennsylvania,City,40.44062,-79.99589,304391,132468,40715,20950.9,96.36
SO - 0009931,2014-01-01,Wholesale,USD,AXW291,6,6525.8,39154.8,3589.19,sanofi-ave Group,Product 13,Buckeye,Maricopa County,AZ,Arizona,City,33.37032,-112.58378,62138,15718,58939,35565.61,90.83
SO - 0003378,2014-01-01,Distributor,USD,AXW291,11,2351.7,25868.7,1269.918,Thoughtmix Ltd,Product 20,Greenwood,Johnson County,IN,Indiana,City,39.61366,-86.10665,55586,20975,54176,24598.782,95.09
SO - 0005126,2014-01-01,Wholesale,USD,AXW291,6,978.2,5869.2,684.74,Amerisourc Corp,Product 26,Pleasanton,Alameda County,CA,California,City,37.66243,-121.87468,79510,26020,124759,5184.46,88.33
SO - 0005614,2014-01-01,Export,USD,AXW291,7,2338.3,16368.1,1028.852,Colgate-Pa Group,Product 7,Bloomington,Monroe County,IN,Indiana,City,39.16533,-86.52639,84067,30232,30019,15339.248,93.71
